cause_id cause_name mapTarget
300 "HIV/AIDS resulting in other diseases" B201
394 Syphilis A50
395 "Chlamydial infection" A55
396 "Gonococcal infection" A54
934 "Drug-susceptible tuberculosis" A15
946 "Multidrug-resistant tuberculosis without extensive drug resistance" U843
319 "Typhoid fever" A010
320 "Paratyphoid fever" A011
348 "Visceral leishmaniasis" B550
361 Ascariasis B77
333 "Pneumococcal meningitis" G001
334 "H influenzae type B meningitis" G000
335 "Meningococcal meningitis" A39
336 "Other meningitis" A87
401 "Acute hepatitis A" B15
402 "Acute hepatitis B" B16
403 "Acute hepatitis C" B171
404 "Acute hepatitis E" B172
367 "Maternal hemorrhage" O20
368 "Maternal sepsis and other maternal infections" O23
369 "Maternal hypertensive disorders" O10
370 "Maternal obstructed labor and uterine rupture" O32
995 "Maternal abortion and miscarriage" N96
374 "Ectopic pregnancy" O00
375 "Indirect maternal deaths" O24
376 "Late maternal deaths" O96
379 "Other maternal disorders" N98
381 "Neonatal preterm birth" P010
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P017
383 "Neonatal sepsis and other neonatal infections" P36
384 "Hemolytic disease and other neonatal jaundice" P55
385 "Other neonatal disorders" P00
849 "Non-melanoma skin cancer (squamous-cell carcinoma)" C44
845 "Acute lymphoid leukemia" C910
846 "Chronic lymphoid leukemia" C911
847 "Acute myeloid leukemia" C920
848 "Chronic myeloid leukemia" C921
943 "Other leukemia" C912
964 "Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms" D45
965 "Benign and in situ intestinal neoplasms" K620
966 "Benign and in situ cervical and uterine neoplasms" N840
967 "Other benign and in situ neoplasms" N60
495 "Ischemic stroke" G45
496 "Intracerebral hemorrhage" I61
497 "Subarachnoid hemorrhage" I60
968 "Non-rheumatic calcific aortic valve disease" I35
969 "Non-rheumatic degenerative mitral valve disease" I34
970 "Other non-rheumatic valve diseases" I36
942 Myocarditis B332
938 "Alcoholic cardiomyopathy" I426
944 "Other cardiomyopathy" I421
511 Silicosis J62
512 Asbestosis J61
513 "Coal workers pneumoconiosis" J60
514 "Other pneumoconiosis" J63
527 "Peptic ulcer disease" K25
528 "Gastritis and duodenitis" K29
573 "Anorexia nervosa" F500
574 "Bulimia nervosa" F502
562 "Opioid use disorders" F11
563 "Cocaine use disorders" F14
564 "Amphetamine use disorders" F15
566 "Other drug use disorders" F13
975 "Diabetes mellitus type 1" E10
976 "Diabetes mellitus type 2" E11
997 "Chronic kidney disease due to diabetes mellitus type 1" E102
